ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF -128-NOTFOUND 2nd stage bootloader
I (25) boot: compile time Apr 20 2026 11:22:55
I (25) boot: Multicore bootloader
I (26) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (32) boot.esp32s3: Boot SPI Speed : 80MHz
I (36) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 8MB
I (43) boot: Enabling RNG early entropy source...
I (48) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (57) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (70) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (80) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0e844h ( 59460) map
I (97) esp_image: segment 1: paddr=0001e86c vaddr=3fc94e00 size=017ach (  6060) load
I (99) esp_image: segment 2: paddr=00020020 vaddr=42000020 size=1c788h (116616) map
I (122) esp_image: segment 3: paddr=0003c7b0 vaddr=3fc965ac size=015d4h (  5588) load
I (124) esp_image: segment 4: paddr=0003dd8c vaddr=40374000 size=10d20h ( 68896) load
I (141) esp_image: segment 5: paddr=0004eab4 vaddr=50000000 size=00020h (    32) load
I (148) boot: Loaded app from partition at offset 0x10000
I (148) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (167) cpu_start: GPIO 44 and 43 are used as console UART I/O pins
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (170) app_init: Application information:
I (173) app_init: Project name:     ESP32_IMU_setup_NEW
I (178) app_init: App version:      af12b68-dirty
I (183) app_init: Compile time:     Apr 27 2026 11:33:17
I (188) app_init: ELF file SHA256:  e2bc1d974...
I (192) app_init: ESP-IDF:          -128-NOTFOUND
I (197) efuse_init: Min chip rev:     v0.0
I (200) efuse_init: Max chip rev:     v0.99 
I (204) efuse_init: Chip rev:         v0.2
I (208) heap_init: Initializing. RAM available for dynamic allocation:
I (215) heap_init: At 3FC9E2D0 len 0004B440 (301 KiB): RAM
I (220) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (225) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (230) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (236) spi_flash: detected chip: gd
I (239) spi_flash: flash io: dio
I (242) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (248) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (255) coexist: coex firmware version: 7260f71
I (259) coexist: coexist rom version e7ae62f
I (263) main_task: Started on CPU0
I (286) main_task: Calling app_main()
I (286) MAIN: Starter IMU drift-test
I (3560) main_task: Returned from app_main()
t_us,gx_raw,gy_raw,gz_raw,gx_corr,gy_corr,gz_corr
3825160,3,-6,-3,0.068359,0.069336,0.061035
3826438,3,-6,-3,0.068359,0.069336,0.061035
3827397,3,-6,-3,0.068359,0.069336,0.061035
3829885,1,-8,-5,-0.053711,-0.052734,-0.061035
3833960,2,-6,-5,0.007324,0.069336,-0.061035
3837870,2,-6,-5,0.007324,0.069336,-0.061035
3841772,0,-6,-4,-0.114746,0.069336,0.000000
3845683,1,-5,-3,-0.053711,0.130371,0.061035
3849584,3,-6,-4,0.068359,0.069336,0.000000
3853407,-1,-6,-4,-0.175781,0.069336,0.000000
3857396,-1,-6,-4,-0.175781,0.069336,0.000000
3861392,2,-6,-4,0.007324,0.069336,0.000000
3865207,3,-8,-3,0.068359,-0.052734,0.061035
3869117,3,-6,-6,0.068359,0.069336,-0.122070
3873019,1,-6,-5,-0.053711,0.069336,-0.061035
3877015,1,-6,-5,-0.053711,0.069336,-0.061035
3881004,-1,-9,-4,-0.175781,-0.113770,0.000000
3885094,3,-6,-4,0.068359,0.069336,0.000000
3888903,2,-6,-6,0.007324,0.069336,-0.122070
3892819,3,-8,-5,0.068359,-0.052734,-0.061035
3896810,3,-8,-5,0.068359,-0.052734,-0.061035
3900798,3,-9,-3,0.068359,-0.113770,0.061035
3904700,-2,-5,-5,-0.236816,0.130371,-0.061035
3908783,1,-6,-2,-0.053711,0.069336,0.122070
3912685,2,-9,-3,0.007324,-0.113770,0.061035
3916597,2,-9,-3,0.007324,-0.113770,0.061035
3920497,2,-8,-2,0.007324,-0.052734,0.122070
3924407,2,-8,-6,0.007324,-0.052734,-0.122070
3928395,0,-8,-6,-0.114746,-0.052734,-0.122070
3932479,1,-5,-6,-0.053711,0.130371,-0.122070
3936468,1,-5,-6,-0.053711,0.130371,-0.122070
3940464,1,-9,-4,-0.053711,-0.113770,0.000000
3944453,-1,-8,-4,-0.175781,-0.052734,0.000000
3948536,3,-8,-5,0.068359,-0.052734,-0.061035
3952525,3,-9,-4,0.068359,-0.113770,0.000000
3956435,3,-6,-5,0.068359,0.069336,-0.061035
3960336,3,-6,-5,0.068359,0.069336,-0.061035
3964246,1,-9,-4,-0.053711,-0.113770,0.000000
3968235,1,-9,-4,-0.053711,-0.113770,0.000000
3972232,3,-7,-4,0.068359,0.008301,0.000000
3976047,1,-6,-5,-0.053711,0.069336,-0.061035
3980043,1,-6,-5,-0.053711,0.069336,-0.061035
3984032,4,-6,-5,0.129395,0.069336,-0.061035
3987942,3,-6,-4,0.068359,0.069336,0.000000
3991757,2,-6,-4,0.007324,0.069336,0.000000
3995580,2,-6,-4,0.007324,0.069336,0.000000
3999395,3,-5,-2,0.068359,0.130371,0.122070
4003218,1,-7,-4,-0.053711,0.008301,0.000000
4007120,1,-7,-4,-0.053711,0.008301,0.000000
4011030,2,-8,-4,0.007324,-0.052734,0.000000
4014932,2,-8,-4,0.007324,-0.052734,0.000000
4018841,3,-7,-5,0.068359,0.008301,-0.061035
4022744,2,-6,-5,0.007324,0.069336,-0.061035
4026653,0,-7,-6,-0.114746,0.008301,-0.122070
4030642,4,-6,-4,0.129395,0.069336,0.000000
